fraud_id,transaction_id,fraud_detected_date,fraud_type,investigation_status,fraud_resolution
1,655,4/10/2020 19:09,Card Not Present,Open,No Action Taken
2,251,2/12/2021 7:47,Stolen Card,Under Investigation,No Action Taken
3,693,1/24/2020 18:40,Skimming,Open,No Action Taken
4,33,8/4/2023 4:58,Card Not Present,Open,No Action Taken
5,239,2/11/2023 0:39,Skimming,Open,No Action Taken
6,734,11/10/2019 5:56,Skimming,Resolved,False Positive
7,460,7/14/2020 16:09,Skimming,Closed,Confirmed Fraud
8,778,10/25/2021 18:41,Stolen Card,Resolved,False Positive
9,285,12/23/2020 13:14,Stolen Card,Under Investigation,No Action Taken
10,105,12/17/2022 9:00,Card Not Present,Resolved,False Positive
11,368,7/15/2022 5:31,Account Takeover,Closed,Confirmed Fraud
12,748,2/14/2020 9:17,Fake Merchant,Open,No Action Taken
13,81,1/29/2020 6:01,Skimming,Closed,Confirmed Fraud
14,592,7/3/2021 19:34,Stolen Card,Open,No Action Taken
15,678,8/11/2024 0:36,Stolen Card,Closed,Confirmed Fraud
16,876,8/5/2023 11:23,Stolen Card,Open,No Action Taken
18,380,7/28/2024 5:14,Account Takeover,Under Investigation,No Action Taken
19,719,2/19/2022 0:25,Card Not Present,Under Investigation,No Action Taken
20,168,1/26/2024 5:48,Fake Merchant,Resolved,False Positive
21,948,1/8/2023 8:27,Skimming,Under Investigation,No Action Taken
22,864,12/21/2021 14:25,Card Not Present,Under Investigation,No Action Taken
23,825,1/21/2022 10:20,Account Takeover,Resolved,False Positive
24,68,7/9/2021 21:42,Stolen Card,Closed,Confirmed Fraud
25,672,7/7/2024 3:13,Fake Merchant,Resolved,False Positive
26,147,10/18/2023 22:50,Account Takeover,Under Investigation,No Action Taken
27,763,9/23/2020 17:27,Skimming,Closed,Confirmed Fraud
28,920,7/14/2021 8:18,Skimming,Resolved,False Positive
29,225,7/24/2022 12:51,Stolen Card,Resolved,False Positive
30,774,7/22/2024 0:48,Card Not Present,Open,No Action Taken
31,643,9/22/2020 12:18,Stolen Card,Resolved,False Positive
32,395,10/16/2022 7:06,Fake Merchant,Resolved,False Positive
33,995,9/8/2020 17:56,Skimming,Open,No Action Taken
34,699,8/1/2021 17:52,Skimming,Closed,Confirmed Fraud
35,115,8/26/2020 3:16,Account Takeover,Resolved,False Positive
36,465,12/6/2020 21:38,Card Not Present,Closed,Confirmed Fraud
37,520,2/23/2021 16:41,Card Not Present,Closed,Confirmed Fraud
38,157,4/28/2024 23:50,Account Takeover,Under Investigation,No Action Taken
39,614,9/25/2023 2:42,Account Takeover,Resolved,False Positive
41,60,2/26/2023 16:04,Stolen Card,Open,No Action Taken
42,750,10/3/2024 8:30,Fake Merchant,Open,No Action Taken
43,132,9/15/2021 19:34,Fake Merchant,Under Investigation,No Action Taken
44,541,7/21/2022 4:37,Skimming,Resolved,False Positive
45,952,7/20/2021 12:54,Skimming,Under Investigation,No Action Taken
46,409,3/5/2024 2:16,Account Takeover,Resolved,False Positive
47,124,6/25/2021 0:36,Stolen Card,Under Investigation,No Action Taken
48,347,12/26/2019 2:47,Card Not Present,Under Investigation,No Action Taken
49,8,4/19/2020 14:03,Card Not Present,Open,No Action Taken
50,70,3/6/2023 6:40,Card Not Present,Closed,Confirmed Fraud
51,527,5/23/2022 7:11,Stolen Card,Closed,Confirmed Fraud
52,220,5/15/2023 11:08,Skimming,Under Investigation,No Action Taken
53,249,8/21/2022 6:27,Fake Merchant,Resolved,False Positive
54,97,9/4/2020 8:46,Card Not Present,Resolved,False Positive
55,434,8/9/2022 20:58,Fake Merchant,Resolved,False Positive
56,690,5/13/2022 16:47,Card Not Present,Open,No Action Taken
57,746,9/10/2021 3:18,Account Takeover,Open,No Action Taken
58,197,2/9/2023 8:30,Stolen Card,Resolved,False Positive
59,433,11/10/2022 11:24,Stolen Card,Closed,Confirmed Fraud
60,256,4/2/2022 19:38,Card Not Present,Resolved,False Positive
61,52,7/28/2023 7:49,Skimming,Open,No Action Taken
62,949,4/13/2022 22:04,Stolen Card,Under Investigation,No Action Taken
63,498,1/24/2022 23:22,Fake Merchant,Under Investigation,No Action Taken
64,925,4/5/2020 1:02,Card Not Present,Under Investigation,No Action Taken
65,3,12/15/2019 22:07,Fake Merchant,Closed,Confirmed Fraud
66,293,3/27/2021 7:28,Fake Merchant,Resolved,False Positive
67,195,7/30/2022 5:31,Account Takeover,Under Investigation,No Action Taken
68,594,6/17/2024 10:07,Skimming,Open,No Action Taken
69,59,7/1/2024 22:05,Card Not Present,Resolved,False Positive
71,71,5/24/2024 15:03,Skimming,Open,No Action Taken
72,414,9/18/2020 11:31,Card Not Present,Under Investigation,No Action Taken
73,635,1/25/2022 23:48,Card Not Present,Resolved,False Positive
74,958,1/23/2022 0:14,Account Takeover,Under Investigation,No Action Taken
75,245,8/19/2022 13:32,Account Takeover,Resolved,False Positive
76,688,9/21/2020 15:02,Account Takeover,Resolved,False Positive
78,637,12/27/2023 8:07,Skimming,Open,No Action Taken
79,551,12/11/2019 5:14,Stolen Card,Closed,Confirmed Fraud
80,956,12/30/2019 13:18,Account Takeover,Open,No Action Taken
81,379,10/8/2022 16:58,Account Takeover,Under Investigation,No Action Taken
82,854,9/5/2023 1:47,Skimming,Closed,Confirmed Fraud
83,684,2/24/2020 7:12,Skimming,Closed,Confirmed Fraud
84,962,11/4/2023 19:27,Stolen Card,Closed,Confirmed Fraud
85,912,3/15/2020 13:27,Card Not Present,Under Investigation,No Action Taken
86,289,2/18/2021 5:40,Skimming,Under Investigation,No Action Taken
87,209,3/26/2021 18:57,Account Takeover,Resolved,False Positive
88,928,5/10/2020 20:37,Card Not Present,Open,No Action Taken
89,850,6/18/2024 21:03,Account Takeover,Open,No Action Taken
90,342,10/31/2019 17:46,Stolen Card,Closed,Confirmed Fraud
